Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
Whirlpool,with Ace Wash Station 1400 RPM Speed and Rust Proof Was...,9790,4.4,7.0,Semi Automatic,Top Load,4.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Multicolor,12432,4.3,9.5,Semi Automatic,Top Load,
ONIDA,Washer only,5800,4.2,6.5,,,1.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
Voltas,Beko by A Tata Product,10976,4.3,8.5,Semi Automatic,Top Load,
MarQ,by Flipkart Rating Innowash Range Maroon W...,8190,4.3,7.5,Semi Automatic,Top Load,2.0
Whirlpool,NA,13190,3.9,9.0,Semi Automatic,Top Load,2.0
Voltas,Beko with In-built Heater,17590,4.3,8.0,Fully Automatic,Top Load,5.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Haier,Toughened Glass with Digital Kingfisher Print Anti Bacterial Vortex Pulsator 1300 RPM S...,14980,4.3,11.0,,,3.0
MOTOROLA,NA,11990,4.2,7.0,Fully Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Samsung,Air Turbo Drying,14990,4.4,9.5,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,34820,4.3,8.0,Fully Automatic,Front Load,2.0
realme,TechLife MegaWash Range,14290,4.2,9.0,Fully Automatic,Top Load,2.0
IFB,with Deep Clean Technology ActivMix Powe by AI with Aqua Energie Soft Close Doo...,18200,4.3,7.0,,,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
MarQ,by Flipkart Maroon,10190,4.3,10.0,Semi Automatic,Top Load,2.0
LG,with Roller Jet Pulsator with Soak Wind Jet Dry and Rat Away (Spin Tub Capacity)...,13990,4.5,8.0,,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
realme,TechLife Rating,10090,4.2,8.0,Semi Automatic,Top Load,2.0
Voltas,Beko Maroon,9699,4.0,8.0,Semi Automatic,Top Load,2.0
Voltas,Beko,14099,4.1,7.0,Fully Automatic,Top Load,1.0
Samsung,NA,13990,4.4,8.5,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,13190,4.1,8.0,Fully Automatic,Top Load,2.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter Touch Panel with AI Fully Auto...,34490,4.3,8.0,,,4.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Voltas,Beko,10290,4.3,8.0,Semi Automatic,Top Load,1.0
Whirlpool,Ace XL,14890,4.4,10.0,Semi Automatic,Top Load,4.0
Samsung,Ecobubble Wi-Fi Digital Inverter,22990,4.3,9.0,Fully Automatic,Top Load,2.0
IFB,with Deep Clean Technology ActivMix Powe by AI with Aqua Energie Soft Close Doo...,17710,4.3,7.0,,,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Voltas,Beko,20298,4.2,11.0,Fully Automatic,Top Load,1.0
VW,NA,9990,,8.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Multicolor,10976,4.3,8.5,Semi Automatic,Top Load,
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automa...,7390,4.2,7.5,,,1.0
